Category Name,Focus Area,Product Type,Percent to Reimburse,Category Description,Focus Area Description,Product Type Description, Program Name
Organized Sports,Organized Sports,Softball,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Swim Lessons,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Soccer,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Football,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Cheerleading,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Basketball,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Volleyball,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Dance,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Ultimate Frisbee,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Martial Arts,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Hockey,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Organized Sports,Organized Sports,Figure Skating,100%,"This pays for organized leagues, and sporting event that you participate in.",Pay for that sports league (no beer leagues) that you have yearned for ever since you graduated high school.  Get that letter jacket back out.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Weight Support,Other ,100%,This pays for thigns that help you maintain a healthy weight,"Get in tip top shape, so you can strut at the beach summer.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Weight Support,Weight Watchers,100%,This pays for thigns that help you maintain a healthy weight,"Get in tip top shape, so you can strut at the beach summer.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Weight Support,Nutrisystem,100%,This pays for thigns that help you maintain a healthy weight,"Get in tip top shape, so you can strut at the beach summer.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Weight Support,Jenni Craig,100%,This pays for thigns that help you maintain a healthy weight,"Get in tip top shape, so you can strut at the beach summer.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Weight Support,Registered Dietician/Nutritionist,100%,This pays for thigns that help you maintain a healthy weight,"Get in tip top shape, so you can strut at the beach summer.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Weight Support,V-Trim,100%,This pays for thigns that help you maintain a healthy weight,"Get in tip top shape, so you can strut at the beach summer.","This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Other ,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Athletic Shoes,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Skis,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Bikes,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Weights ,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Foam Roller,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Kayak,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Canoe ,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Bike Helmet,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Life Jacket,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Floatation Device,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Swim Goggles,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Ski Goggles,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Jogging Stroller,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Snowboard Bindings,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Bike Trailer,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Ski/Snowboard Boots,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Snowboard,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Golf Clubs,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Equipment ,Electric Bike,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Repair and Up Keep,Other ,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Repair and Up Keep,Bike Repair Items & Tools,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Repair and Up Keep,Ski/Snowboard Tuning,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Repair and Up Keep,Racquet Restring,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Repair and Up Keep,Skate Sharpening,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Equipment,Fitness Tracker,Fitness Trackers,100%,This pays for certain equipment needed to participate in sports,You might need equipment for all of your organized sports�,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Other ,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Massage Therapy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Acupressure,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Shiatsu,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Aromatherapy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Herbalist,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Hypnotherapy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Homeopathy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Iridology,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Light Thereapy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Magnotherapy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Music Therapy,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Oxygen Therapy ,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Reflexology,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Reiki,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Rolfing,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
Mind & Body,Healthy Alternatives,Tai Chi,100%,This pays for mindfullness and wellness,Go to your Zen Zone - Namaste.,"This Product type list is very long, and creating the description  list will take forever to complete.",Wellness
